"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Megabiome"
513,"Cottonwood Lake (Su)",44.83544,-99.9081,549,"Eastern North America",6
514,"Cottonwood Pass Pond",38.82873,-106.411,3670,"Western North America",4
516,"Cranberry Lake",44.1,-78.1,170,"Eastern North America",3
517,"Crane Lake",36.52986,-112.149,2590,"Western North America",3
518,"Cranberry Glades",38.2,-80.2833,1029,"Eastern North America",3
519,"Crates Lake",49.19,-81.26,259,"Eastern North America",3
523,"Crider's Pond",39.96667,-77.55,290,"Eastern North America",3
524,"Cristal Lake",52.11667,-90.0833,355,"Eastern North America",4
525,"Crowfoot Lake",51.65,-116.42,1940,"Western North America",4
527,"Crowsnest Lake",68.33,-146.46,881,"Western North America",4
530,"Voros-mocsar",46.47722,19.19083,91,"Europe",3
531,"Starniki",50.26667,26.01667,198,"Europe",3
532,"Cub Lake",44.72,-84.95,360,"Eastern North America",3
534,"Cub Lake",44.125,-111.183,1840,"Western North America",3
535,"Cueva Haichol",-38.5833,-70.6667,1050,"South America",6
536,"Cueva Milodon",-51.5833,-72.6333,50,"South America",6
537,"Cumbre Unduavi",-16.35,-68.0417,4620,"South America",6
538,"Cummins Pond",48.4075,-89.3467,229,"Eastern North America",3
539,"Cupola Pond",36.79913,-91.09,243,"Eastern North America",3
540,"Lagoa da Curuça",-0.76553,-47.8559,35,"South America",1
543,"Cygnet Lake Fen",44.65,-110.6,2530,"Western North America",4
547,"Lagoa das Patas",0.266667,-66.6833,300,"South America",1
549,"Daumont",54.88333,-69.4,607,"Eastern North America",4
550,"Davis Lake",46.59167,-122.25,282,"Western North America",3
672,"Decoy Lake",43.24126,-80.3674,260,"Eastern North America",3
673,"Deer Lake Bog",44.03333,-71.8333,1325,"Eastern North America",3
675,"Delorme 1",54.41,-69.92,513,"Eastern North America",4
677,"Delorme 2",54.42361,-69.9297,538,"Eastern North America",4
678,"Lac Demain",62.05,-118.7,745,"Western North America",4
679,"Demont Lake",43.48,-85,248,"Eastern North America",3
681,"Denton Lake",45.85397,-89.313,500,"Eastern North America",3
682,"Derput",57.03333,124.1167,700,"Asia",4
684,"Devils Lake",43.4178,-89.7321,294,"Eastern North America",3
688,"Diana 375",60.99,-69.95,114,"Eastern North America",8
691,"Lac du Diable",48.91083,-66.125,494,"Eastern North America",3
693,"Dinkey Meadow",37,-119.083,1683,"Western North America",3
699,"Dismal Swamp (91)",36.58333,-76.45,6,"Eastern North America",3
701,"Divide Lake",43.95,-110.23,2628,"Western North America",4
715,"Dlinnoye Lake",67.75673,-178.842,280,"Asia",8
719,"Dome Creek Meadow",40.02417,-107.051,3165,"Western North America",4
720,"Domsvatnet",70.32584,31.02587,120,"Europe",4
723,"Dovjok Swamp",48.75,28.25,274,"Europe",3
772,"Duck Pond",41.9327,-70.0005,2,"Eastern North America",3
773,"Lac Dufresne",45.85,-70.35,650,"Eastern North America",3
774,"Dunnigan Lake",47.70721,-91.6312,506,"Eastern North America",3
776,"Eagle Lake Bog",44.16667,-71.6667,1275,"Eastern North America",3
777,"Eagle Lake",53.23333,-58.55,400,"Eastern North America",4
778,"Eaglenest Lake",57.75,-112.09,725,"Western North America",4
782,"East Baltic Bog",46.40833,-62.15,45,"Eastern North America",3
784,"Edessa",40.81806,21.9525,350,"Europe",3
785,"Edward Lake",44.36,-80.25,518,"Eastern North America",3
788,"Elikchan 4 Lake",51.79,60.73,810,"Asia",4
790,"Eldora Fen",39.93667,-105.58,2848,"Western North America",3
791,"Elgygytgyn Stream Section",67.41667,172.0833,490,"Asia",4
792,"Elgennya Lake",62.08333,149,1040,"Asia",8
796,"Emerald Lake",44.07,-110.31,2634,"Western North America",4
799,"Enmyvaam River, 2.5-3 m terrace",67.43333,172.1667,491,"Asia",4
801,"Enmynveem River",68.25,166,500,"Asia",8
802,"Ennadai Lake, 1972 Site",61.24444,-100.951,325,"Eastern North America",4
803,"Ennadai Lake",61.16667,-100.917,168,"Eastern North America",4
804,"Entarnoye Peat Exposure",59,78.33333,65,"Asia",3
805,"Lake Erie",41.92,-82.76,168,"Eastern North America",3
808,"East Sooke Fen",48.35194,-123.682,155,"Western North America",3
811,"Etivlik Lake",68.12,-156.07,631,"Western North America",4
813,"East Twin Lake",41.19616,-81.3348,321,"Eastern North America",3
816,"Exchequer Meadow",37,-119.833,2219,"Western North America",3
818,"Fallback Lake",43.96667,-110.433,2597,"Western North America",4
820,"Lac Faribault",58.86694,-71.7169,250,"Eastern North America",4
821,"Tourbière de Farnham",45.28278,-72.9828,53,"Eastern North America",3
823,"Fawn Lake (CA:Ontario)",45.41,-79.39,333,"Eastern North America",3
828,"Ferndale Bog",34.40556,-95.8083,263,"Eastern North America",3
829,"Fiddler's Pond",56.25,-121.42,630,"Western North America",3
834,"Beaverhouse Lake",54.74222,-101.682,305,"Eastern North America",4
835,"Floating Island Lake",44.55,-107.467,2609,"Western North America",4
841,"Forest Pond 1",43.47121,-109.939,2797,"Western North America",4
843,"Forest Pond 2",43.43889,-109.95,2766,"Western North America",4
847,"Frains Lake",42.33,-83.61,271,"Eastern North America",3
849,"Hayes Lake",49.58596,-93.7445,391,"Eastern North America",3
850,"French Lake",44.94577,-94.4207,327,"Eastern North America",6
852,"Fresh Pond",41.16,-71.58,28,"Eastern North America",3
853,"Frying Pan Lake",38.61,-111.67,2720,"Western North America",3
856,"Furnival Lake",48.22,-84.93,440,"Eastern North America",3
857,"Saint-Gabriel",46.27583,-73.4758,250,"Eastern North America",3
858,"Gagra",43.28333,40.26667,4,"Europe",3
860,"Gass Lake",44.05,-87.73,211,"Eastern North America",3
866,"Gek Lake",63.38333,147.65,969,"Asia",8
867,"Gel'myazevskoye",49.66667,31.83333,120,"Europe",3
871,"Lac à St-Germain",45.94583,-74.3708,473,"Eastern North America",3
872,"Serra Campos Gerais",-24.6667,-50.2167,1200,"South America",1
873,"Giles",41.37709,-75.0932,732,"Eastern North America",3
876,"Gladkoye Bog",55,83.33333,80,"Asia",3
878,"Jones Lake [Glenboro site]",49.448,-99.2897,409,"Eastern North America",3
880,"Peat Exposure, Glukhoye Lake",59.75,149.9167,10,"Asia",4
966,"Gold Lake Bog",43.65,-122.042,1465,"Western North America",3
968,"Goluboye Lake",61.11,152.26,810,"Asia",4
969,"Goshen Springs",31.72111,-86.1342,105,"Eastern North America",2
971,"Gould Pond",44.99,-69.32,89,"Eastern North America",3
973,"Graham Lake",45.19,-77.36,381,"Eastern North America",3
974,"Grand Rapids",53,-98.25,350,"Eastern North America",3
976,"Lac Gras",52.25,-67.0667,530,"Eastern North America",4
977,"Grasvatn",63.70291,8.689085,46,"Europe",4
978,"Gravel Ridge",55.03333,-62.6333,565,"Eastern North America",4
982,"Green Lake",44.88,-85.13,305,"Eastern North America",3
986,"Grenadier Pond",43.64,-79.47,76,"Eastern North America",3
987,"Grey Islands",50.76671,-55.5315,104,"Eastern North America",4
997,"Gurskii Peat [Site 4381]",50.06667,137.0833,15,"Asia",3
998,"Gytgykai Lake",63.16667,175,102,"Asia",4
999,"Hack Pond",37.98472,-78.9972,469,"Eastern North America",3
1000,"Hafichuk Site",50.32056,-105.884,740,"Western North America",6
1001,"Hail Lake",60.03333,-129.017,690,"Western North America",4
1002,"Hams Lake",43.24,-80.41,301,"Eastern North America",3
1003,"Hanging Lake",68.38333,-138.383,500,"Western North America",4
1006,"Harding Lake",64.44444,-146.908,213,"Western North America",4
1008,"Harrie Lake",52.93333,-66.95,530,"Eastern North America",4
1013,"Hay Lake",34,-109.43,2780,"Western North America",3
1024,"Headwaters Lake",67.93333,-155.05,820,"Western North America",4
1028,"Hebron Lake",58.2,-63.0333,170,"Eastern North America",4
1030,"Hedrick Pond",43.75,-110.6,2073,"Western North America",4
1033,"Tourbière de Lanoraie HENRI",45.98889,-73.3,18,"Eastern North America",3
1104,"Hidden Lake",63.94,-144.658,343,"Western North America",4
1105,"High Lake",44.51667,-76.6,192,"Eastern North America",3
1107,"Honeymoon Pond",64.63333,-138.4,1160,"Western North America",4
1111,"Hostage Lake",46.55,-94.1333,368,"Eastern North America",3
1114,"Howes Prairie Marsh",41.65,-87.0722,185,"Eastern North America",3
1133,"Hudson Lake",41.72,-86.55,239,"Eastern North America",3
1135,"Humber Pond 3",43.64,-79.48,74,"Eastern North America",3
1136,"Humber Pond 5",43.64,-79.49,74,"Eastern North America",3
1137,"Humber Pond 7",43.65,-79.5,74,"Eastern North America",3
1138,"Hustler Lake",48.22982,-92.1601,401,"Eastern North America",3
1139,"Hynes Brook Salt Marsh",48.61861,-58.965,0,"Eastern North America",4
1141,"Igarka Peat Exposure",67.66667,86,45,"Asia",4
1142,"Iglutalik Lake",66.135,-66.0833,90,"Eastern North America",8
1144,"Il'inka Terrace",47.96667,142.1667,3,"Asia",4
1147,"Indian Lake",50.91667,-90.45,383,"Eastern North America",3
1148,"Indian Prairie Fen",44.63333,-122.575,988,"Western North America",3
1149,"Inglesby Lake",44.48333,-77.05,167,"Eastern North America",3
1152,"Keystone Iron Fen",38.865,-107.033,2920,"Western North America",4
1153,"Irvin Lake",47.13556,-93.6436,478,"Eastern North America",3
1154,"Morro de Itapeva",-22.7833,-45.5333,1850,"South America",1
1155,"Ivanovskoye Peat Bog",56.81667,38.76667,141,"Europe",3
1156,"Izylmet'evskaya Terrace Exposure 3410",48.81667,141.9667,4,"Asia",4
1157,"Jack Lake",47.31667,-81.7667,430,"Eastern North America",3
1158,"Jack London Lake",62.07229,149.5398,820,"Asia",4
1160,"Jackson Pond",37.43255,-85.7246,260,"Eastern North America",3
1161,"Jack London Lake",70.89417,179.6236,7,"Asia",8
1162,"Jacob Lake",34.33333,-110.833,2285,"Western North America",3
1171,"James Bay",50.22,-80.2,267,"Eastern North America",4
1254,"Saint-Jean Ile d'Orléans",46.93278,-70.9328,68,"Eastern North America",3
1255,"Jewell Site",42.26,-93.7,317,"Eastern North America",3
1390,"Joe Lake",66.76667,-157.217,183,"Western North America",4
1391,"Joes Pond",48.24,-58.24,100,"Eastern North America",4
1393,"Tourbière du lac Joncas",47.25778,-71.1628,747,"Eastern North America",3
1397,"Tourbière de Lanoraie JOSEPH",45.99194,-73.3028,18,"Eastern North America",3
1432,"Kaiyak Lake",68.14,-161.44,190,"Western North America",4
1433,"Kalistratikha Exposure",53.33333,83.25,190,"Asia",3
1434,"Kalsa Mire",58.19142,27.41146,38,"Europe",3
1435,"Kameničky",49.72651,15.97089,624,"Europe",3
1437,"Kanaaupscow",54.02778,-76.6439,200,"Eastern North America",4
1438,"Kansjön",57.64055,14.53458,308,"Europe",4
1439,"Karasye Lake",53.03,70.22,435,"Asia",3
1440,"Kardashinski Swamp",46.51667,32.61667,4,"Europe",6
1441,"Karginskii Cape Peat Exposure",70,85,60,"Asia",8
1442,"Kargopolovo Exposure",55,83,75,"Asia",3
1443,"Katantica",-14.8,-69.1833,4820,"South America",8
1444,"Kayakskoye Zaimitschye",55,81,150,"Asia",3
1445,"Keele Lake",64.16,-127.6,1150,"Western North America",8
1447,"Kellys Hollow",45.3,-90.35,470,"Eastern North America",3
1448,"Kellners Lake",44.24,-87.85,261,"Eastern North America",3
1451,"Lac Kénogami",48.32,-71.39,166,"Eastern North America",3
1520,"Kirchner Marsh",44.77085,-93.1226,286,"Eastern North America",3
1522,"Kirikumae",57.68291,27.25128,183,"Europe",3
1523,"Kirk Lake",48.24,-121.62,190,"Western North America",4
1524,"Kitchner Lake",45.66667,-87.455,237,"Eastern North America",3
1541,"Kollioksak",66.98,-156.46,213,"Western North America",4
1542,"Berelyekh River",63.28333,147.75,800,"Asia",8
1543,"Komaritsa Peat Exposure",57.5,69,42,"Asia",3
1549,"Kotyrkol' Peat Bog",52.96222,70.38044,439,"Asia",3
1551,"Kresta Gulf Exposure",66,-179,5,"Asia",8
1553,"Bol'shaya Kuobakh-Baga River, Terrace Site",64.98333,143.375,500,"Asia",4
1559,"East Siberian Sea Coast 11",71.06667,156.25,8,"Asia",4
1562,"Bol'shaya Kuropatoch'ya River (KUROP7)",70.66667,156.75,7,"Asia",4
1563,"Bol'shaya Kuropatoch'ya River (KURPEAT)",69.96667,156.375,47,"Asia",4
1564,"Kylen Lake",47.34,-91.81,485,"Eastern North America",3
1566,"Kyurbe-Yuryakh-2",68.59861,138.6167,650,"Asia",4
1568,"Lacawac",41.38215,-75.2913,443,"Eastern North America",3
1569,"Lac Colin",46.72,-70.29,658,"Eastern North America",3
1571,"Lac Louis",47.28,-79.11,300,"Eastern North America",3
1572,"Lac à Magie",44.27,-66.08,60,"Eastern North America",3
1574,"Ladd Lake",41.42,-84.76,249,"Eastern North America",3
1577,"Lago de Ajo",43.04169,-6.13878,1570,"Europe",3
1578,"Lago Moreno",-41.0583,-71.5167,800,"South America",3
1579,"Laguna Salinas",-16.4,-71.15,4300,"South America",8
1580,"Lake Sixteen",45.59,-84.32,216,"Eastern North America",3
1581,"Lake 27",45.05,-84.79,411,"Eastern North America",3
1582,"Lake 31",67.05,-50.4667,115,"Eastern North America",8
1587,"Lake BN7",55.00917,-73.5167,395,"Eastern North America",4
1590,"Lake CH2",49.68333,-74.5833,830,"Eastern North America",4
1591,"Lake EC1",56.28333,-75.1,250,"Eastern North America",4
1592,"Lake EC2",56.02464,-74.9465,300,"Eastern North America",4
1594,"Lake GB1",55.11083,-75.2489,325,"Eastern North America",4
1595,"Lake GB2",56.1,-75.2833,300,"Eastern North America",4
1598,"Lake LB1",57.91667,-75.6167,200,"Eastern North America",4
1599,"Lake LR1",58.58333,-75.25,170,"Eastern North America",4
1601,"Lake LR3",58.57833,-75.245,160,"Eastern North America",4
1603,"Lake LT1",58.14167,-75.15,150,"Eastern North America",4
1604,"Lake PWWL",73.59139,-98.5389,110,"Eastern North America",8
1606,"Lake QC",46.82833,-80.6983,333,"Eastern North America",3
1607,"Lake Six",48.4,-81.3167,305,"Eastern North America",3
1610,"La Mision",-53.5,-67.8333,5,"South America",6
1611,"L'Anse aux Meadows Site",51.57333,-55.55,5,"Eastern North America",4
1615,"Tourbière de Lanoraie STJEAN",46,-73.2169,20,"Eastern North America",3
1617,"Lateral Pond",65.94222,-135.514,470,"Western North America",4
1621,"Lago do Pires",-17.9479,-42.2115,390,"South America",1
1622,"Leading Tickles",49.47133,-55.473,105,"Eastern North America",4
1623,"Ledovyi Obryu Exposure, Southern Section",64.1,171.1833,44,"Asia",4
1626,"Lac à Léonard",49.21,-65.81,17,"Eastern North America",3
1628,"Lesnoye Lake",59.58333,151.8667,95,"Asia",4
1630,"Lake George",-35.0897,149.4293,673,"Indopacific",3
1631,"Laguna Huatacocha",-10.7836,-76.5946,4500,"South America",8
1632,"Lily Lake",59.2,-135.39,230,"Western North America",4
1633,"Lily Lake",45.04816,-92.8239,258,"Eastern North America",3
1635,"Lily Lake",43.77,-110.33,2469,"Western North America",4
1637,"Lily Lake Fen",43.76667,-110.317,2469,"Western North America",4
1639,"Little Bass Lake",47.286,-93.6005,391,"Eastern North America",3
1642,"Little Lake",44.16658,-123.584,217,"Western North America",3
1646,"Laguna Jeronimo",-11.7833,-75.2167,4450,"South America",6
1647,"Laguna Junín",-11,-76.1667,4100,"South America",1
1648,"Lake Annie",27.20731,-81.3509,34,"Eastern North America",5
1650,"Lake Hope Simpson",52.44715,-56.431,295,"Eastern North America",4
1651,"Little Lake",44.6682,-63.9366,40,"Eastern North America",3
1654,"Laguna Milloc",-11.5775,-76.3565,4325,"South America",8
1655,"Lockport Gulf Section",43.16667,-78.7167,109,"Eastern North America",3
1656,"Lofty Lake",54.72528,-112.481,620,"Western North America",4
1657,"Lone Fox Lake",56.71667,-119.717,1100,"Western North America",4
1658,"Lonesome Lake",44.14,-71.7011,831,"Eastern North America",3
1659,"Long Lake (CA:Nunavut)",62.6,-101.24,259,"Eastern North America",4
1661,"Longswamp",40.49095,-75.6697,192,"Eastern North America",3
1663,"Loon Pond",45.04,-68.2,110,"Eastern North America",3
1664,"Lorino Exposure",65.5,-171.7,12,"Asia",8
1666,"Lost Lake",47.63516,-110.484,1019,"Western North America",6
1667,"Lost P.",44.25,-71.25,635,"Eastern North America",3
1670,"Louise Pond",52.94643,-131.764,650,"Western North America",4
1671,"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)",26.48111,-80.4156,5,"Eastern North America",5
1674,"Laguna Pomacocha",-11.75,-75.25,4450,"South America",6
1679,"Laguna Tuctua",-11.6667,-75,4250,"South America",1
1680,"Lukaschin Yar Peat Exposure",61,78.5,65,"Asia",4
1683,"Lynch's Crater",-17.3659,145.6861,760,"Indopacific",1
1684,"Lynn Lake",56.84167,-101.042,340,"Eastern North America",4
1687,"Lake Madjagara",64.83333,120.9667,160,"Asia",4
1691,"Tourbière du lac Malbaie",47.59722,-70.9764,818,"Eastern North America",4
1694,"Mallin Book",-41.3333,-71.5833,800,"South America",3
1695,"Maltan River Exposure",60.88333,151.6167,735,"Asia",4
1696,"Enmynveem River (mammoth site)",68.16667,165.9333,400,"Asia",4
1698,"Mansell Pond",45.04,-68.73,58,"Eastern North America",3
1701,"Maplehurst Lake",43.225,-80.6597,300,"Eastern North America",3
1703,"Lac Marcotte",47.05,-71.4,503,"Eastern North America",3
1704,"M Lake",68.26667,-133.467,105,"Western North America",4
1705,"Marion Lake",49.30833,-122.547,305,"Western North America",3
1707,"Mariposa Lake",44.15,-110.24,2730,"Western North America",4
1709,"Lac Martyne",56.78,-64.83,365,"Eastern North America",4
1711,"Lago Mascardi-Gutierrez",-41.25,-71.4667,800,"South America",3
1715,"Wapizagonke",46.72639,-73.0306,230,"Eastern North America",3
1716,"Sud du Lac du Noyer",46.78778,-72.8378,270,"Eastern North America",3
1718,"Mayflower Lake",45.30278,-66.0708,50,"Eastern North America",3
1719,"McCarston's Lake",45.05,-80.09,433,"Eastern North America",3
1724,"McMaster Lake",64.13333,-110.583,480,"Western North America",4
1725,"McNearney Lake",46.42694,-84.952,264,"Eastern North America",3
1732,"Medicine Lake",44.98419,-97.3501,519,"Eastern North America",6
1733,"Lac Mélèze",65.21,-126.13,650,"Western North America",4
1735,"Lake Mendota",43.1,-89.4167,257,"Eastern North America",3
1736,"Mereya River, Lagoon Terrace Exposure S4000(30)",46.61667,142.9167,4,"Asia",3
1754,"Lac Mimi",47.49694,-70.3758,423,"Eastern North America",3
1755,"Minakokosa Lake",66.91667,-155.033,122,"Western North America",4
1758,"Paramo de Miranda",8.916667,-70.8333,3290,"South America",6
1762,"Molas Pass Bog",37.73778,-107.698,3220,"Western North America",4
1763,"Monhegan Island Meadow",43.76667,-69.3,3,"Eastern North America",3
1766,"Montezuma Well",34.6492,-111.752,1081,"Western North America",3
1768,"Moon Lake",46.85592,-98.1598,444,"Eastern North America",6
1769,"18 [Moraine Lake]",52.26667,-58.05,385,"Eastern North America",4
1770,"Mordsger Lake",51.38333,-94.25,400,"Eastern North America",3
1771,"Moreno Glacier Bog",-50.4667,-73,200,"South America",4
1772,"Mosquito Lake Bog",48.76917,-122.118,198,"Western North America",3
1773,"Moulton Pond",44.6275,-68.6392,143,"Eastern North America",3
1776,"Mud Lake",29.29993,-81.866,9,"Eastern North America",2
1778,"Mud Lake",46.85894,-94.7554,424,"Eastern North America",3
1780,"Munday Creek",60.03333,-141.967,88,"Western North America",4
1782,"Muscotah Marsh",39.53,-95.5133,280,"Eastern North America",6
1783,"Muskox Lake",71.78333,-122.667,305,"Western North America",8
1786,"Myrtle Lake",47.98261,-93.3853,393,"Eastern North America",3
1788,"Natla Bog",63.01667,-128.8,1380,"Western North America",8
