"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"ALEXISLK","ALEXISLK","ALEXISLK","10.21233/n39m4j","LegacyPollen 1.0",25,25,"Alexis Lake",52.51667,-57.0333,200,"Eastern North America","Lake","Raw",15,"AWI",4,-67,27644,1979.4,27711,"Lake in Alexis River watershed. Physiography: Mecatina Plateau/Laurentian region. Surrounding vegetation: Black Spruce, Lichen Barrens.",NA,"Lamb, H.F., 1978. Post-glacial vegetation change in southeastern Labrador. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALIUK","ALIUK","ALIUK","10.21233/n35t17","LegacyPollen 1.0",27,27,"Aliuk Pond",54.58333,-57.3667,25,"Eastern North America","Lake","Raw",9,"AWI",2,2323,11207,1110.5,8884,"Small glacial scour lake. Physiography: coastal lowlands. Surrounding vegetation: sedge-shrub and lichen-heath tundra.","1972-01-01 00:00:00","Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALUT","ALUT","ALUT","10.21233/n36k5n","LegacyPollen 1.0",31,31,"Alut Lake",60.14,152.33,480,"Asia","Lake","Raw",117,"AWI",25,-66,34322,296.4,34388,"Tectonic lake. Physiography: valley in mountains. Surrounding vegetation: Larix forest.","1996-07-01 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Anderson, P.M., Lozhkin, A.V., Belaya, B.V. and Stetsenko, T.V., 1998. New data about the stratigraphy of late Quaternary deposits of northern Priokhot'ye. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.69-87). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,"Anderson, P.M. and Lozhkin, A.V., 2001. The latest Pleistocene interstade (Karginskii/Boutellier interval) of Beringia: variations in paleoenvironments and implications for paleoclimatic interpretations. Quaternary Science Reviews, 20(1-3), pp.93-125.","https://doi.org/10.1016/S0277-3791(00)00129-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMARETE","AMARETE","AMARETE","10.21233/n32s3q","LegacyPollen 1.0",32,32,"Amarete",-15.2333,-68.9833,4000,"South America","Peat","Raw",15,"AWI",2,-60,10281,738.6,10341,"Mire.",NA,"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMBA","AMBA","AMBA","10.21233/n3j39f","LegacyPollen 1.0",33,33,"Amba River Exposure 596",43.31667,131.8167,5,"Asia","Coast","Raw",8,"AWI",3,1613,5706,584.7,4093,"Exposure of alluvial and lagoon sediment. Physiography: coastal plain. Surrounding vegetation: Quercus-Carpinus-Abies holophylla forest.","1970-06-17 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMGUEMA1","AMGUEMA1","AMGUEMA1","10.21233/n3110p","LegacyPollen 1.0",68,68,"Amguema River Valley Exposure 1",67.75,178.7,175,"Asia","Alluvial/Fluvial","Raw",4,"AWI",2,1788,25242,7818,23454,"Exposure in a mine excavation. Physiography: river valley in glacial outwash. Surrounding vegetation: shrub tundra.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Kotov, A.N., 1997. Cryolithogenesis in the ablation zone of late Pleistocene glaciers. In: Results of fundamental investigations of the cryosphere of earth in the Arctic and Subarctic, 1996 (pp.249-259). Nauka, Novosibirsk (in Russian).",NA,"Lozhkin, A.V., Trumpe, M.A., Polujan, A.I., Kotova, L.N. and Takmazyan, E.D., 1995. Radiocarbon dates for upper Quaternary sequences in northeastern Asia and Alaska. In: History of climate and vegetation in Beringia during the late Cenozoic ed. by Y.M. Bychkov and A.V. Lozhkin (pp.169-184). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMGUEMA2","AMGUEMA2","AMGUEMA2","10.21233/n3959z","LegacyPollen 1.0",69,69,"Amguema River Valley Exposure 2",67.66667,178.6,87,"Asia","Alluvial/Fluvial","Raw",8,"AWI",2,1888,3039,164.4,1151,"Exposure in river bank. Physiography: river valley in glacial outwash. Surrounding vegetation: shrub tundra.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Kotov, A.N., 1997. Cryolithogenesis in the ablation zone of late Pleistocene glaciers. In: Results of fundamental investigations of the cryosphere of earth in the Arctic and Subarctic, 1996 (pp.249-259). Nauka, Novosibirsk (in Russian).",NA,"Lozhkin, A.V., Trumpe, M.A., Polujan, A.I., Kotova, L.N. and Takmazyan, E.D., 1995. Radiocarbon dates for upper Quaternary sequences in northeastern Asia and Alaska. In: History of climate and vegetation in Beringia during the late Cenozoic ed. by Y.M. Bychkov and A.V. Lozhkin (pp.169-184). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMTKEL","AMTKEL","AMTKEL","10.21233/n3cc88","LegacyPollen 1.0",200,200,"Amtkel",43.26806,41.30833,1830,"Europe","Alluvial/Fluvial","Raw",14,"AWI",3,123,2048,148.1,1925,"Lower part of glacial trough. Physiography: Head of river Amtkel. Surrounding vegetation: Subalpine beech elfin woodland.","1982-08-01 00:00:00","Kvavadze, E.V. and Rukhadze, L.P., 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Scientific and Publishing Council of the Georgian SSR Academy of Sciences, p.136 (in Russian).",NA,"Kvavadze, E.V., Rukhadze, L.P., Tretyak, P.R. and Petrenko, L.V., 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel River (Abkhazia). Bulletin of the Georgian Academy of Sciences, 125(2), pp.421-424.","https://doi.org/10.1594/PANGAEA.738965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDERSLK","ANDERSLK","ANDERSLK","10.21233/n33w32","LegacyPollen 1.0",202,202,"Anderson Lake",46.41667,-92.7167,339,"Eastern North America","Lake","Raw",24,"AWI",4,11693,12647,41.5,954,"Physiography: Nickerson Moraine. Surrounding vegetation: maple-basswood, Juglans cinerea.",NA,"Wright Jr, H.E. and Watts, W.A., 1969. Glacial and vegetational history of northeastern Minnesota. Special Publications Series 11. Minnesota Geological Survey, University of Minnesota, Minneapolis, Minnesota, USA.",NA,"Stuiver, M., 1969. Yale natural radiocarbon measurements IX. Radiocarbon, 11(2), pp.545-658.","https://doi.org/10.1017/S0033822200011413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDERSON","ANDERSON","ANDERSON","10.21233/n30302","LegacyPollen 1.0",203,203,"Anderson Pond",36.03,-85.5,303,"Eastern North America","Lake","Raw",60,"AWI",10,-42,30146,511.7,30188,NA,"1976-01-01 00:00:00","Delcourt, H.R., 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs, 49(3), pp.255-280.","https://doi.org/10.2307/1942485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREE","ANDREE","ANDREE","10.21233/n3fd53","LegacyPollen 1.0",204,204,"Andree Bog",45.725,-93.25,300,"Eastern North America","Peat","Raw",20,"AWI",4,9575,13447,203.8,3872,"Shallow irregular peat deposit. Physiography: gently rolling ground moraine. Surrounding vegetation: sedge meadow and shrub-carr.",NA,"Cushing, E.J., 1967. Late-Wisconsin pollen stratigraphy and the glacial sequence in Minnesota. In: Quaternary paleoecology ed. by E.J. Cushing and H.E. Wright Jr (pp.59-88). Yale University Press, New Haven, Connecticut, USA.",NA,"Cushing, E.J., 1963. Late-Wisconsin pollen stratigraphy in east-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,"Cushing, E.J., 1964. Redeposited pollen in Late Wisconsin pollen spectra from east-central Minnesota. American Journal of Science, 262(9), pp.1075-1088.","https://doi.org/10.2475/ajs.262.9.1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDRUSC2","ANDRUSC2","ANDRUSC2","10.21233/n39q4k","LegacyPollen 1.0",205,205,"Andrus Lake",46.70169,-85.039,190,"Eastern North America","Lake","Raw",13,"AWI",26,-34.2,156.5,15.9,190.8,"Seepage lake. Physiography: flat sandy glacial lake bottom. Surrounding vegetation: Pinus/Betula/Quercus/Acer.","1984-02-15 00:00:00","Charles, D.F. and Whitehead, D.R., 1984. Paleoecological Investigation of Recent Lake Acidification (PIRLA): December 1984 Status Report. RP 2174-10, Electric Power Research Institute, Palo Alto, CA.",NA,"Charles, D.F. and Whitehead, D.R., 1986. Paleoecological Investigation of Recent Lake Acidification (PIRLA): Methods and Project Description. EPRI EA-4906, Electric Power Research Institute, Palo Alto, CA.",NA,"Shane, L.C., 1987. Northern Great Lakes States pollen and charcoal data. PIRLA Unpublished Report Series 9, Indiana University, Bloomington, IN.",NA,"Kingston, J.C., Cook, R.B., Kreis, R.G., Camburn, K.E., Norton, S.A., Sweets, P.R., Binford, M.W., Mitchell, M.J., Schindler, S.C., Shane, L.C.K. and King, G.A., 1990. Paleoecological investigation of recent lake acidification in the northern Great Lakes states. Journal of Paleolimnology, 4(2), pp.153-201.","https://doi.org/10.1007/BF00226322","Charles, D.F. and Whitehead, D.R., 1987. The PIRLA project: paleoecological investigations of recent lake acidification. Hydrobiologia, 143, pp.13-20.","https://doi.org/10.1007/BF00026639",NA,NA,NA,NA,NA,NA
"ANDYLAKE","ANDYLAKE","ANDYLAKE","10.21233/n35x18","LegacyPollen 1.0",206,206,"Andy Lake",64.64,-128.08,1360,"Western North America","Lake","Raw",57,"AWI",4,-66,13049,234.2,13115,"Lake dammed by a Mountain River moraine. Physiography: Mackenzie Mountains. Surrounding vegetation: shrub tundra.","1990-04-01 00:00:00","Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371.","https://doi.org/10.1016/0031-0182(95)00070-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGAL","ANGAL","ANGAL","10.21233/n3bc8z","LegacyPollen 1.0",207,208,"Angal Lake",67.13,-153.9,820,"Western North America","Lake","Raw",37,"AWI",3,-51,17051,475.1,17102,"Cirque lake. Physiography: mountainous. Surrounding vegetation: Betula shrub tundra.","1979-08-01 00:00:00","Brubaker, L.B., Garfinkee, H.L. and Edwards, M.E., 1983. A late Wisconsin and Holocene vegetation history from the central Brooks Range: implications for Alaskan palaeoecology. Quaternary Research, 20(2), pp.194-214.","https://doi.org/10.1016/0033-5894(83)90077-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGE","ANGE","ANGE","10.21233/n36k61","LegacyPollen 1.0",208,209,"Lac à l'Ange",47.48,-70.68,648,"Eastern North America","Lake","Raw",57,"AWI",8,-59,15915,285.2,15974,"Rock basin with steep sides. Physiography: rugged mountainous morainic area. Surrounding vegetation: Betulo papyriferae - Abietetum.","1977-01-01 00:00:00","Labelle, C. and Richard, P.J.H., 1981. Vegetation tardiglaciaire et postglaciaire au sud-est du parc des Laurentides, Quebec. Geographie physique et Quaternaire, 35(3), pp.345-359 (in French).","https://doi.org/10.7202/1000544ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTELOPE","ANTELOPE","ANTELOPE","10.21233/n32w2c","LegacyPollen 1.0",209,210,"Antelope Playa",43.5,-105.45,1450,"Western North America","Alluvial/Fluvial","Raw",25,"AWI",3,-54,16494,689.5,16548,"Small playa. Physiography: Powder River Basin. Surrounding vegetation: Artemisia tridentata grassland.","1982-03-01 00:00:00","Markgraf, V. and Lennon, T., 1986. Paleoenvironmental history of the last 13,000 years of the eastern Powder River Basin, Wyoming, and its implications for prehistoric cultural patterns. Plains Anthropologist, 31(111), pp.1-12.","https://doi.org/10.1080/2052546.1986.11909310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AQUIRI","AQUIRI","AQUIRI","10.21233/n3j69g","LegacyPollen 1.0",211,212,"Lago do Aquiri",-3.16,-45.01,10,"South America","Lake","Raw",27,"AWI",3,7140,8278,43.8,1138,"Natural lake, sometimes flooded by river. Physiography: soft rolling area with flood plains. Surrounding vegetation: anthropog. palm forest, swamp savanna.","1994-05-20 00:00:00","Behling, H. and da Costa, M.L., 1997. Studies on Holocene tropical vegetation, mangrove and coast environments in the state of Maranhao, NE Brazil. Quaternary of South America and Antarctic Peninsula, 10(7), pp.93-118.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARRINGTO","ARRINGTO","ARRINGTO","10.21233/612s-t274","LegacyPollen 1.0",213,214,"Arrington Marsh",39.495,-95.5267,280,"Eastern North America","Peat","Raw",26,"AWI",2,19368,29163,391.8,9795,"Spring marsh along edge of floodplain. Physiography: floodplain edge of the Delaware River.",NA,"Gruger, J., 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin, 84(1), pp.239-250.","https://doi.org/10.1130/0016-7606(1973)84<239:SOTLQV>2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTSLOUG","ARTSLOUG","ARTSLOUG","10.21233/n34x3q","LegacyPollen 1.0",214,215,"Arts Lough",52.95,-6.43333,490,"Europe","Peat","Raw",30,"AWI",6,647,12245,399.9,11598,"Eroding blanket peat. Physiography: Steep cliffs to south rising to 800m. Surrounding vegetation: Heathland vegetation.",NA,"Bradshaw, R.H.W. and McGee, E., 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist, 108(2), pp.219-224.","https://doi.org/10.1111/j.1469-8137.1988.tb03699.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATO","ATO","ATO","10.21233/n31w22","LegacyPollen 1.0",217,219,"Lac des Atocas",45.54,-73.31,114,"Eastern North America","Lake","Raw",46,"AWI",4,-59,14076,314.1,14135,"Rock basin lake with marginal bog. Physiography: Hilly moraine. Surrounding vegetation: Caryo - Aceretum sacchari.","1979-06-08 00:00:00","Gauthier, R., 1981. Histoire de la colonisation vegetale postglaciaire des Monteregiennes: deux sites du mont Saint-Bruno. Master's thesis. Universite de Montreal, Montreal, Quebec, Canada (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AXELAKE","AXELAKE","AXELAKE","10.21233/n3h68s","LegacyPollen 1.0",219,221,"Axe Lake",45.39,-79.5,323,"Eastern North America","Lake","Raw",37,"AWI",3,-16,11380,316.6,11396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAIRDIN","BAIRDIN","BAIRDIN","10.21233/n3410m","LegacyPollen 1.0",222,224,"Baird Inlet [Rock Basin Lake]",78.49167,-76.78,295,"Eastern North America","Lake","Raw",23,"AWI",3,-28,11543.5,526,11571.5,"Closed steep sided ice excavated basin. Physiography: granulite gneiss massif, valley glaciers. Surrounding vegetation: Empetrum/Vaccinium heath, mossy heaths.","1979-01-01 00:00:00","Hyvarinen, H., 1985. Holocene pollen stratigraphy of Baird Inlet, east-central Ellesmere Island, arctic Canada. Boreas, 14(1), pp.19-32.","https://doi.org/10.1111/j.1502-3885.1985.tb00884.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLIN","BALLIN","BALLIN","10.21233/n30684","LegacyPollen 1.0",223,225,"Ballinloghig Lake",52.19,-10.31,84,"Europe","Lake","Raw",68,"AWI",12,1425,17609,241.6,16184,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",NA,"Barnosky, C.W., 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy, 88(B), pp.23-37.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLYBET","BALLYBET","BALLYBET","10.21233/n38c8b","LegacyPollen 1.0",224,226,"Ballybetagh",53.16667,-6.25,250,"Europe","Peat","Raw",36,"AWI",6,11115,15708,131.2,4593,"Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.",NA,"Cwynar, L.C. and Watts, W.A., 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research, 31(3), pp.377-380.","https://doi.org/10.1016/0033-5894(89)90044-6","Jessen, K. and Farrington, A., 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy, 44B(10), pp.205-260.",NA,"Watts, W.A., 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London. B, Biological Sciences, 280(972), pp.273-293.","https://doi.org/10.1098/rstb.1977.0110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARABA","BARABA","BARABA","10.21233/n30w34","LegacyPollen 1.0",228,230,"Lower Barabaschevka River Exposure 594",43.13333,131.6,5,"Asia","Alluvial/Fluvial","Raw",6,"AWI",2,4853,10240,1077.4,5387,"Exposure in alluvium-marine terrace. Physiography: lower river valley. Surrounding vegetation: Quercus-Carpinus-Abies holophylla forest.","1970-06-17 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARCHAMP","BARCHAMP","BARCHAMP","10.21233/n3bh7z","LegacyPollen 1.0",229,232,"Barchampe Lake",30.63,-83.25,34,"Eastern North America","Lake","Raw",64,"AWI",2,-37,8514,135.7,8551,"Sinkhole pond. Physiography: Gulf Coastal Plain, level. Surrounding vegetation: pine/oak forest.","1986-03-20 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
